"Name","Race","RaceImg","Appr","Lvl","Undead","Tameble","Wz1","CoolEye","Exp","HP","MP","Wz2","Wz3","Ac","FireMAC","IceMAC","LightMAC","WindMAC","HolyMAC","DarkMAC","PhantomMAC","Dc","DcMax","McType","Mc","McMax","Speed","Hit","WALK_SPD","WalkWait","WalkStep","ATTACK_SPD","Wz4","UnKnow","OrgName"
"测试","11","0","1356","80","1","0","0","100","400000","10000","10","50","50","125","-2","5","1","3","4","-3","-2","190","240","3","185","248","18","18","1200","0","1","1200","10",\N,"王者软件"
"卫士","11","12","26","150","0","0","0","100","16","9999","0","110","110","110","5","5","5","5","5","5","5","220","220","0","0","0","200","200","0","0","0","4000","0","","王者软件"
"丛林战士1","11","19","165","150","0","0","0","100","16","9999","0","220","220","220","5","5","5","5","5","5","5","165","165","0","0","0","200","200","0","0","0","2000","0","","王者软件"
"丛林战士2","11","19","166","150","0","0","0","100","16","9999","0","220","220","220","5","5","5","5","5","5","5","165","165","0","0","0","200","200","0","0","0","2000","0","","王者软件"
"诺玛卫士","11","19","179","150","0","0","0","100","16","9999","0","220","220","220","5","5","5","5","5","5","5","165","165","0","0","0","200","200","0","0","0","2000","0","","王者软件"
"卫士1","11","24","113","150","0","0","0","100","16","9999","0","220","220","220","5","5","5","5","5","5","5","165","165","0","0","0","200","200","0","0","1","2000","0","","王者软件"
"图书馆护卫","11","24","114","150","0","0","0","100","16","9999","0","220","220","220","5","5","5","5","5","5","5","165","165","0","0","0","200","200","0","0","0","2000","0","","王者软件"
"沙漠战士","11","24","115","150","0","0","0","100","16","9999","0","220","220","220","5","5","5","5","5","5","5","165","165","0","0","0","200","200","0","0","0","2000","0","","王者软件"
"鸡","31","11","20","2","0","1","0","0","80","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","6","1500","0","1","3000","0","","王者软件"
"鹿","52","11","21","6","0","1","0","0","272","50","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","8","9","1500","0","1","3000","0","","王者软件"
"猪","52","11","119","3","0","1","0","0","128","20","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","5","8","1500","0","1","3000","0","","王者软件"
