"Idx","Name","Stdmode","Shape","Weight","CharLooks","Anicount","Source","Reserved","Throw","Looks","DuraMax","Ac","Ac2","Mac_Type","Mac","Mac2","Dc","Dc2","Sac","Sac2","Mc_Type","Mc","Mc2","Func_Type","Func","Amulet","Need","NeedLevel","Price","Stock","OrgName"
"0","金币","41","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","王者软件"
"1","金创药（小）","0","0","1","0","0","0","0","3","5","1","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","5","王者软件"
"2","魔法药（小）","0","0","1","0","0","0","0","3","15","1","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","80","5","王者软件"
"3","肉","40","0","3","0","0","0","0","0","300","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","800","10000","王者软件"
"4","布衣（男）","10","2","5","0","0","0","0","0","940","5000","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","500","5","王者软件"
"5","布衣（女）","11","2","5","0","0","0","0","0","950","5000","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","500","5","王者软件"
"6","木剑","5","9","5","0","0","0","0","0","1042","4000","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","1","50","5","王者软件"
"7","铁剑","5","23","10","0","0","0","0","0","1043","10000","0","0","0","0","0","4","9","0","0","0","0","0","0","0","0","0","7","1000","5","王者软件"
"8","青铜剑","5","23","9","0","0","0","0","0","1043","8000","0","0","0","0","0","3","6","0","0","0","0","0","0","0","0","0","5","500","5","王者软件"
"9","轻型盔甲（男）","10","2","8","0","0","0","0","0","941","8000","3","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","11","5000","5","王者软件"
"10","轻型盔甲（女）","11","2","8","0","0","0","0","0","951","8000","3","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","11","5000","5","王者软件"
"11","干肉","1","0","1","0","0","0","0","0","93","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10000","王者软件"
"12","包子","2","0","1","0","0","0","0","0","90","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","10000","王者软件"
"13","凝霜","5","27","33","0","0","0","0","0","1044","20000","0","0","0","0","0","10","16","0","0","0","0","0","0","0","0","0","25","8000","5","王者软件"
"14","火球术","51","1","1","0","0","0","0","0","304","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"15","治愈术","51","2","1","0","0","0","0","0","304","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"16","基本剑术","51","0","1","0","0","0","0","0","304","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","王者软件"
"17","蜡烛","30","0","1","0","0","0","0","0","290","8000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10000","王者软件"
"18","短剑","5","23","12","0","0","0","0","0","1043","12000","0","0","0","0","0","3","11","0","0","0","0","0","0","0","0","0","10","2000","5","王者软件"
"19","精神力战法","51","2","1","0","0","0","0","0","304","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"20","青铜斧","5","12","20","0","0","0","0","0","1060","20000","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","14","3500","5","王者软件"
"21","重盔甲（女）","11","3","23","0","0","0","0","0","990","25000","4","9","0","2","3","0","0","0","0","0","0","0","0","0","0","0","22","10000","5","王者软件"
"22","魔法长袍（女）","11","4","12","0","0","0","0","0","1030","20000","3","7","0","3","4","0","0","0","0","1","0","2","0","0","0","0","22","10000","5","王者软件"
"23","灵魂战衣（女）","11","5","15","0","0","0","0","0","1010","20000","3","8","0","3","3","0","0","0","0","2","0","2","0","0","0","0","22","10000","5","王者软件"
"24","重盔甲（男）","10","3","23","0","0","0","0","0","980","25000","4","9","0","2","3","0","0","0","0","0","0","0","0","0","0","0","22","10000","5","王者软件"
"25","魔法长袍（男）","10","4","12","0","0","0","0","0","1020","20000","3","7","0","3","4","0","0","0","0","1","0","2","0","0","0","0","22","10000","5","王者软件"
"26","灵魂战衣（男）","10","5","15","0","0","0","0","0","1000","20000","3","8","0","3","3","0","0","0","0","2","0","2","0","0","0","0","22","10000","5","王者软件"
"27","大火球","51","1","1","0","0","0","0","0","304","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"28","攻杀剑术","51","0","1","0","0","0","0","0","304","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","王者软件"
"29","施毒术","51","2","1","0","0","0","0","0","304","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"30","匕首","5","21","7","0","0","0","0","0","1045","6000","0","0","0","0","0","3","5","0","0","0","0","0","0","0","0","0","3","100","5","王者软件"
"31","井中月","5","14","54","0","0","0","0","0","1068","26000","0","0","0","0","0","14","22","0","0","0","0","0","1","4","0","0","35","28000","5","王者软件"
"32","银蛇","5","18","21","0","0","0","0","0","1102","22000","0","2","0","0","0","6","17","0","0","2","2","4","0","0","0","0","28","10000","5","王者软件"
"33","海魂","6","6","10","0","0","0","0","0","1080","9000","0","0","0","0","0","3","10","0","0","1","1","2","0","0","0","0","14","3500","5","王者软件"
"34","修罗","5","12","30","0","0","0","0","0","1065","22000","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","20","6000","5","王者软件"
"35","炼狱","6","5","70","0","0","0","0","0","1066","30000","0","0","0","0","0","1","32","0","0","0","0","0","0","0","0","0","33","23000","5","王者软件"
"36","凌风","5","11","23","0","0","0","0","0","1063","16000","0","0","0","0","0","6","12","0","0","0","0","0","0","0","0","0","17","4500","5","王者软件"
"37","破魂","5","21","8","0","0","0","0","0","1045","11000","0","2","0","0","0","5","7","0","0","0","1","1","0","0","0","0","10","2000","5","王者软件"
"38","斩马刀","5","11","27","0","0","0","0","0","1063","18000","0","0","0","0","0","5","16","0","0","0","0","0","0","0","0","0","18","5000","5","王者软件"
"39","食人树叶","52","0","0","0","0","0","0","2","113","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","5","王者软件"
"40","毒蜘蛛牙齿","52","0","0","0","0","0","0","2","111","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","5","王者软件"
"41","食人树的果实","52","0","0","0","0","0","0","2","114","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","5","王者软件"
"42","蝎子的尾巴","52","0","0","0","0","0","0","2","112","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","5","王者软件"
"43","蛆卵","52","0","0","0","0","0","0","2","110","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","5","王者软件"
"44","灰色药粉（小）","25","1","1","0","0","0","0","0","131","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","50","王者软件"
"45","黄色药粉（小）","25","2","1","0","0","0","0","0","130","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","50","王者软件"
"46","古铜戒指","22","0","1","0","0","0","0","0","530","7000","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","1000","5","王者软件"
"47","青铜头盔","15","0","4","1","0","0","0","0","370","8000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1000","5","王者软件"
"48","金项链","20","0","1","0","0","0","0","0","870","8000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","200","5","王者软件"
"49","铁手镯","24","0","1","0","0","0","0","0","646","7000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","300","5","王者软件"
"50","灰色药粉（中）","25","1","2","0","0","0","0","0","131","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2000","50","王者软件"
"51","灰色药粉（大）","25","1","3","0","0","0","0","0","131","15000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3000","50","王者软件"
"52","黄色药粉（中）","25","2","2","0","0","0","0","0","130","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2000","50","王者软件"
"53","黄色药粉（大）","25","2","3","0","0","0","0","0","130","15000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3000","50","王者软件"
"54","乌木剑","5","9","5","0","0","0","0","0","1042","5000","0","0","0","0","0","3","7","0","0","1","0","1","0","0","0","0","7","1000","5","王者软件"
"55","魔杖","6","16","10","0","0","0","0","0","1082","13000","0","0","0","0","0","5","12","0","0","1","3","5","0","0","0","0","28","10000","5","王者软件"
"56","八荒","5","23","19","0","27","0","0","0","1043","14000","0","0","0","0","0","4","12","0","0","0","0","0","0","0","0","0","15","4000","5","王者软件"
"57","鸡肉","40","0","1","0","0","0","0","0","301","4000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","50","王者软件"
"58","水晶魔戒","22","0","1","0","0","0","0","0","490","5000","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","7","1000","5","王者软件"
"59","牛角戒指","22","0","1","0","0","0","0","0","470","6000","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","8","1200","5","王者软件"
"60","蓝色水晶戒指","22","0","1","0","0","0","0","0","472","6000","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","9","1500","5","王者软件"
"61","六绝星环","22","0","1","0","0","0","0","0","510","4000","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","7","1000","5","王者软件"
"62","黑檀项链","20","0","1","0","0","0","0","0","850","6000","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","11","4000","5","王者软件"
"63","黄色水晶项链","20","0","1","0","0","0","0","0","830","7000","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","11","4000","5","王者软件"
"64","黑色水晶项链","20","0","1","0","0","0","0","0","810","9000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","11","4000","5","王者软件"
"65","魔法头盔","15","0","4","1","0","0","0","0","370","8000","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","15","3000","5","王者软件"
"66","沃玛号角","44","0","1","0","0","0","0","0","100","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","王者软件"
"67","半月","5","29","13","0","0","0","0","0","1100","12000","0","0","0","0","0","4","10","0","0","2","1","1","0","0","0","0","14","3500","5","王者软件"
"68","皮制手套","26","0","2","0","0","0","0","0","640","10000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","500","5","王者软件"
"69","坚固手套","26","0","3","0","0","0","0","0","642","10000","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","5000","5","王者软件"
"70","钢手镯","26","0","1","0","0","0","0","0","646","7000","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8","1000","5","王者软件"
"71","玄铁指环","22","0","1","0","0","0","0","0","471","4000","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","9","2000","5","王者软件"
"72","金戒指","22","0","1","0","0","0","0","0","473","6000","0","0","0","0","3","1","1","0","0","0","1","1","0","0","0","0","20","7000","5","王者软件"
"73","灯笼项链","19","0","1","0","0","0","0","0","872","8000","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","13","4000","5","王者软件"
"74","白色虎齿项链","19","0","1","0","0","0","0","0","871","8000","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","18","6000","5","王者软件"
"75","魅力戒指","23","0","1","0","0","0","0","0","512","4000","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","0","19","6000","5","王者软件"
"76","道德戒指","23","0","1","0","0","0","0","0","492","5000","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","19","6000","5","王者软件"
"77","白金项链","20","0","1","0","0","0","0","0","851","6000","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","2","10","3000","5","王者软件"
"78","降妖除魔戒指","22","0","2","0","0","0","0","0","474","6000","0","0","0","0","4","1","2","0","0","0","1","2","0","0","0","0","27","10000","5","王者软件"
"79","躲避手链","20","0","1","0","0","0","0","0","874","7000","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","107","30000","5","王者软件"
"80","地牢逃脱卷","3","1","1","0","0","0","0","3","206","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100","5","王者软件"
"81","偃月","6","6","11","0","0","0","0","0","1081","10000","0","0","0","0","0","4","10","0","0","1","1","3","0","0","0","0","18","5000","5","王者软件"
"82","降魔","5","30","15","0","0","0","0","0","1101","14000","0","1","0","0","0","5","12","0","0","2","1","2","0","0","0","0","18","5000","5","王者软件"
"83","传统项链","20","0","1","0","0","0","0","0","873","8000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","300","5","王者软件"
"84","小手镯","26","0","1","0","0","0","0","0","648","7000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","400","5","王者软件"
"85","银手镯","24","0","1","0","0","0","0","0","722","7000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","500","5","王者软件"
"86","大手镯","26","0","1","0","0","0","0","0","644","7000","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","9","1500","5","王者软件"
"87","鹤嘴锄","6","7","10","0","0","0","0","0","1040","10000","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","8","700","5","王者软件"
"88","隐身戒指","22","111","1","0","0","0","0","0","574","4000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"89","抗拒火环","51","1","1","0","0","0","0","0","304","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"90","地狱火","51","1","1","0","0","0","0","0","304","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"91","雷电术","51","1","1","0","0","0","0","0","304","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"92","疾光电影","51","1","1","0","0","0","0","0","304","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"93","灵魂火符","51","2","1","0","0","0","0","0","304","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"94","幽灵盾","51","2","1","0","0","0","0","0","304","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"95","神圣战甲术","51","2","1","0","0","0","0","0","304","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"96","金创药（中）","0","0","1","0","0","0","0","3","6","1","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","5","王者软件"
