Idx,Name,Stdmode,Shape,Weight,CharLooks,Anicount,Source,Reserved,Throw,Looks,DuraMax,Ac,Ac2,Mac_Type,Mac,Mac2,Dc,Dc2,Sac,Sac2,Mc_Type,Mc,Mc2,Func_Type,Func,Amulet,Need,NeedLevel,Price,Stock,OrgName
0,金币,41,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,狮王商业服务端
1,金创药（小）,0,0,1,0,0,0,0,3,5,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,5,狮王商业服务端
2,魔法药（小）,0,0,1,0,0,0,0,3,15,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,80,5,狮王商业服务端
3,肉,40,0,3,0,0,0,0,0,300,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,10000,狮王商业服务端
4,布衣（男）,10,2,5,0,0,0,0,0,940,5000,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,500,5,狮王商业服务端
5,布衣（女）,11,2,5,0,0,0,0,0,950,5000,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,500,5,狮王商业服务端
6,木剑,5,9,5,0,0,0,0,0,1042,4000,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,50,5,狮王商业服务端
7,铁剑,5,23,10,0,0,0,0,0,1043,10000,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,7,1000,5,狮王商业服务端
8,青铜剑,5,23,9,0,0,0,0,0,1043,8000,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,5,500,5,狮王商业服务端
9,轻型盔甲（男）,10,2,8,0,0,0,0,0,941,8000,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,11,5000,5,狮王商业服务端
10,轻型盔甲（女）,11,2,8,0,0,0,0,0,951,8000,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,11,5000,5,狮王商业服务端
11,干肉,1,0,1,0,0,0,0,0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,狮王商业服务端
12,包子,2,0,1,0,0,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,10000,狮王商业服务端
13,凝霜,5,27,33,0,0,0,0,0,1044,20000,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,25,8000,5,狮王商业服务端
14,火球术,51,1,1,0,0,0,0,0,304,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,5,狮王商业服务端
15,治愈术,51,2,1,0,0,0,0,0,304,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1000,5,狮王商业服务端
16,基本剑术,51,0,1,0,0,0,0,0,304,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,5,狮王商业服务端
17,蜡烛,30,0,1,0,0,0,0,0,290,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,狮王商业服务端
18,短剑,5,23,12,0,0,0,0,0,1043,12000,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,10,2000,5,狮王商业服务端
19,精神力战法,51,2,1,0,0,0,0,0,304,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1000,5,狮王商业服务端
20,青铜斧,5,10,20,0,0,0,0,0,1060,20000,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,3500,5,狮王商业服务端
21,重盔甲（女）,11,3,23,0,0,0,0,0,990,25000,4,9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,22,10000,5,狮王商业服务端
22,魔法长袍（女）,11,4,12,0,0,0,0,0,1030,20000,3,7,0,3,4,0,0,0,0,1,0,2,0,0,0,0,22,10000,5,狮王商业服务端
23,灵魂战衣（女）,11,5,15,0,0,0,0,0,1010,20000,3,8,0,3,3,0,0,0,0,2,0,2,0,0,0,0,22,10000,5,狮王商业服务端
24,重盔甲（男）,10,3,23,0,0,0,0,0,980,25000,4,9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,22,10000,5,狮王商业服务端
25,魔法长袍（男）,10,4,12,0,0,0,0,0,1020,20000,3,7,0,3,4,0,0,0,0,1,0,2,0,0,0,0,22,10000,5,狮王商业服务端
